"","region","date","cases"
"1","Afghanistan",20-01-22,0
"2","Albania",20-01-22,0
"3","Algeria",20-01-22,0
"4","Andorra",20-01-22,0
"5","Angola",20-01-22,0
"6","Antigua and Barbuda",20-01-22,0
"7","Argentina",20-01-22,0
"8","Armenia",20-01-22,0
"9","Australia",20-01-22,0
"10","Austria",20-01-22,0
"11","Azerbaijan",20-01-22,0
"12","Bahamas",20-01-22,0
"13","Bahrain",20-01-22,0
"14","Bangladesh",20-01-22,0
"15","Barbados",20-01-22,0
"16","Belarus",20-01-22,0
"17","Belgium",20-01-22,0
"18","Belize",20-01-22,0
"19","Benin",20-01-22,0
"20","Bhutan",20-01-22,0
"21","Bolivia",20-01-22,0
"22","Bosnia and Herzegovina",20-01-22,0
"23","Botswana",20-01-22,0
"24","Brazil",20-01-22,0
"25","Brunei",20-01-22,0
"26","Bulgaria",20-01-22,0
"27","Burkina Faso",20-01-22,0
"28","Burma",20-01-22,0
"29","Burundi",20-01-22,0
"30","Cabo Verde",20-01-22,0
"31","Cambodia",20-01-22,0
"32","Cameroon",20-01-22,0
"33","Canada",20-01-22,0
"34","Central African Republic",20-01-22,0
"35","Chad",20-01-22,0
"36","Chile",20-01-22,0
"37","China",20-01-22,548
"38","Colombia",20-01-22,0
"39","Congo (Brazzaville)",20-01-22,0
"40","Congo (Kinshasa)",20-01-22,0
"41","Costa Rica",20-01-22,0
"42","Cote d'Ivoire",20-01-22,0
"43","Croatia",20-01-22,0
"44","Cuba",20-01-22,0
"45","Cyprus",20-01-22,0
"46","Czechia",20-01-22,0
"47","Denmark",20-01-22,0
"48","Diamond Princess",20-01-22,0
"49","Djibouti",20-01-22,0
"50","Dominica",20-01-22,0
"51","Dominican Republic",20-01-22,0
"52","Ecuador",20-01-22,0
"53","Egypt",20-01-22,0
"54","El Salvador",20-01-22,0
"55","Equatorial Guinea",20-01-22,0
"56","Eritrea",20-01-22,0
"57","Estonia",20-01-22,0
"58","Eswatini",20-01-22,0
"59","Ethiopia",20-01-22,0
"60","Fiji",20-01-22,0
"61","Finland",20-01-22,0
"62","France",20-01-22,0
"63","Gabon",20-01-22,0
"64","Gambia",20-01-22,0
"65","Georgia",20-01-22,0
"66","Germany",20-01-22,0
"67","Ghana",20-01-22,0
"68","Greece",20-01-22,0
"69","Grenada",20-01-22,0
"70","Guatemala",20-01-22,0
"71","Guinea",20-01-22,0
"72","Guinea-Bissau",20-01-22,0
"73","Guyana",20-01-22,0
"74","Haiti",20-01-22,0
"75","Holy See",20-01-22,0
"76","Honduras",20-01-22,0
"77","Hungary",20-01-22,0
"78","Iceland",20-01-22,0
"79","India",20-01-22,0
"80","Indonesia",20-01-22,0
"81","Iran",20-01-22,0
"82","Iraq",20-01-22,0
"83","Ireland",20-01-22,0
"84","Israel",20-01-22,0
"85","Italy",20-01-22,0
"86","Jamaica",20-01-22,0
"87","Japan",20-01-22,2
"88","Jordan",20-01-22,0
"89","Kazakhstan",20-01-22,0
"90","Kenya",20-01-22,0
"91","Korea, South",20-01-22,1
"92","Kosovo",20-01-22,0
"93","Kuwait",20-01-22,0
"94","Kyrgyzstan",20-01-22,0
"95","Laos",20-01-22,0
"96","Latvia",20-01-22,0
"97","Lebanon",20-01-22,0
"98","Liberia",20-01-22,0
"99","Libya",20-01-22,0
"100","Liechtenstein",20-01-22,0
"101","Lithuania",20-01-22,0
"102","Luxembourg",20-01-22,0
"103","Madagascar",20-01-22,0
"104","Malawi",20-01-22,0
"105","Malaysia",20-01-22,0
"106","Maldives",20-01-22,0
"107","Mali",20-01-22,0
"108","Malta",20-01-22,0
"109","Mauritania",20-01-22,0
"110","Mauritius",20-01-22,0
"111","Mexico",20-01-22,0
"112","Moldova",20-01-22,0
"113","Monaco",20-01-22,0
"114","Mongolia",20-01-22,0
"115","Montenegro",20-01-22,0
"116","Morocco",20-01-22,0
"117","Mozambique",20-01-22,0
"118","MS Zaandam",20-01-22,0
"119","Namibia",20-01-22,0
"120","Nepal",20-01-22,0
"121","Netherlands",20-01-22,0
"122","New Zealand",20-01-22,0
"123","Nicaragua",20-01-22,0
"124","Niger",20-01-22,0
"125","Nigeria",20-01-22,0
"126","North Macedonia",20-01-22,0
"127","Norway",20-01-22,0
"128","Oman",20-01-22,0
"129","Pakistan",20-01-22,0
"130","Panama",20-01-22,0
"131","Papua New Guinea",20-01-22,0
"132","Paraguay",20-01-22,0
"133","Peru",20-01-22,0
"134","Philippines",20-01-22,0
"135","Poland",20-01-22,0
"136","Portugal",20-01-22,0
"137","Qatar",20-01-22,0
"138","Romania",20-01-22,0
"139","Russia",20-01-22,0
"140","Rwanda",20-01-22,0
"141","Saint Kitts and Nevis",20-01-22,0
"142","Saint Lucia",20-01-22,0
"143","Saint Vincent and the Grenadines",20-01-22,0
"144","San Marino",20-01-22,0
"145","Sao Tome and Principe",20-01-22,0
"146","Saudi Arabia",20-01-22,0
"147","Senegal",20-01-22,0
"148","Serbia",20-01-22,0
"149","Seychelles",20-01-22,0
"150","Sierra Leone",20-01-22,0
"151","Singapore",20-01-22,0
"152","Slovakia",20-01-22,0
"153","Slovenia",20-01-22,0
"154","Somalia",20-01-22,0
"155","South Africa",20-01-22,0
"156","South Sudan",20-01-22,0
"157","Spain",20-01-22,0
"158","Sri Lanka",20-01-22,0
"159","Sudan",20-01-22,0
"160","Suriname",20-01-22,0
"161","Sweden",20-01-22,0
"162","Switzerland",20-01-22,0
"163","Syria",20-01-22,0
"164","Taiwan",20-01-22,1
"165","Tanzania",20-01-22,0
"166","Thailand",20-01-22,2
"167","Timor-Leste",20-01-22,0
"168","Togo",20-01-22,0
"169","Trinidad and Tobago",20-01-22,0
"170","Tunisia",20-01-22,0
"171","Turkey",20-01-22,0
"172","Uganda",20-01-22,0
"173","Ukraine",20-01-22,0
"174","United Arab Emirates",20-01-22,0
"175","United Kingdom",20-01-22,0
"176","Uruguay",20-01-22,0
"177","USA",20-01-22,1
"178","Uzbekistan",20-01-22,0
"179","Venezuela",20-01-22,0
"180","Vietnam",20-01-22,0
"181","West Bank and Gaza",20-01-22,0
"182","Western Sahara",20-01-22,0
"183","Zambia",20-01-22,0
"184","Zimbabwe",20-01-22,0
"185","Afghanistan",20-01-23,0
"186","Albania",20-01-23,0
"187","Algeria",20-01-23,0
"188","Andorra",20-01-23,0
"189","Angola",20-01-23,0
"190","Antigua and Barbuda",20-01-23,0
"191","Argentina",20-01-23,0
"192","Armenia",20-01-23,0
"193","Australia",20-01-23,0
"194","Austria",20-01-23,0
"195","Azerbaijan",20-01-23,0
"196","Bahamas",20-01-23,0
"197","Bahrain",20-01-23,0
"198","Bangladesh",20-01-23,0
"199","Barbados",20-01-23,0
"200","Belarus",20-01-23,0
"201","Belgium",20-01-23,0
"202","Belize",20-01-23,0
"203","Benin",20-01-23,0
"204","Bhutan",20-01-23,0
"205","Bolivia",20-01-23,0
"206","Bosnia and Herzegovina",20-01-23,0
"207","Botswana",20-01-23,0
"208","Brazil",20-01-23,0
"209","Brunei",20-01-23,0
"210","Bulgaria",20-01-23,0
"211","Burkina Faso",20-01-23,0
"212","Burma",20-01-23,0
"213","Burundi",20-01-23,0
"214","Cabo Verde",20-01-23,0
"215","Cambodia",20-01-23,0
"216","Cameroon",20-01-23,0
"217","Canada",20-01-23,0
"218","Central African Republic",20-01-23,0
"219","Chad",20-01-23,0
"220","Chile",20-01-23,0
"221","China",20-01-23,643
"222","Colombia",20-01-23,0
"223","Congo (Brazzaville)",20-01-23,0
"224","Congo (Kinshasa)",20-01-23,0
"225","Costa Rica",20-01-23,0
"226","Cote d'Ivoire",20-01-23,0
"227","Croatia",20-01-23,0
"228","Cuba",20-01-23,0
"229","Cyprus",20-01-23,0
"230","Czechia",20-01-23,0
"231","Denmark",20-01-23,0
"232","Diamond Princess",20-01-23,0
"233","Djibouti",20-01-23,0
"234","Dominica",20-01-23,0
"235","Dominican Republic",20-01-23,0
"236","Ecuador",20-01-23,0
"237","Egypt",20-01-23,0
"238","El Salvador",20-01-23,0
"239","Equatorial Guinea",20-01-23,0
"240","Eritrea",20-01-23,0
"241","Estonia",20-01-23,0
"242","Eswatini",20-01-23,0
"243","Ethiopia",20-01-23,0
